index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,sr
28,0.07392191538566181,0.030227179975513534,0.030227179975513534,0.07696911984763978,0.07392191538566181,0.07696911984763978,0.005169364712284043,0.029302135763841653,0.029302135763841653,0.6298828125
29,0.08041272570937232,0.03649183147033534,0.03649183147033534,0.08249355116079106,0.08041272570937232,0.08249355116079106,0.006620808254514187,0.03102321582115219,0.03102321582115219,0.650390625
30,0.07364518682051069,0.042779189403090764,0.042779189403090764,0.08221213257244415,0.07364518682051069,0.08221213257244415,0.008733563821663126,0.03292095361075242,0.03292095361075242,0.669921875
31,0.0794308800281047,0.028069559107676095,0.028069559107676095,0.08171438608817846,0.0794308800281047,0.08171438608817846,0.0053398910943263656,0.03116107500439136,0.03116107500439136,0.6904296875
32,0.07369255150554675,0.02384069454971405,0.02384069454971405,0.07660373458278784,0.07369255150554675,0.07660373458278784,0.005598428994694412,0.02833666368083787,0.02833666368083787,0.7099609375
33,0.08704219936556762,0.026434682303181776,0.026434682303181776,0.07298375468614823,0.08704219936556762,0.07298375468614823,0.004878400461405364,0.027684321830241276,0.027684321830241276,0.73046875
34,0.08056966217708103,0.04199602561271804,0.04199602561271804,0.07418856259659969,0.08056966217708103,0.07418856259659969,0.009185250607198056,0.02947670567454184,0.02947670567454184,0.75
35,0.0813677291056731,0.032867480528089264,0.032867480528089264,0.07457327514776556,0.0813677291056731,0.07457327514776556,0.007733524830138651,0.0244987018726178,0.0244987018726178,0.76953125
36,0.08319835870856279,0.015657056473383005,0.015657056473383005,0.06878306878306878,0.08319835870856279,0.06878306878306878,0.0048050966418313355,0.02791275240254832,0.02791275240254832,0.7900390625
37,0.084838903944595,0.020927431496537186,0.020927431496537186,0.06605691056910569,0.084838903944595,0.06605691056910569,0.004629629629629629,0.020588678109003312,0.020588678109003312,0.8095703125
38,0.08757165507988779,0.04289140952148636,0.04289140952148636,0.06870756596332886,0.08757165507988779,0.06870756596332886,0.00902549091352604,0.028133512216937023,0.028133512216937023,0.830078125
39,0.08732911650683534,0.03652315853907366,0.03652315853907366,0.05713119771475209,0.08732911650683534,0.05713119771475209,0.00642725974290961,0.016731279330748826,0.016731279330748826,0.849609375
40,0.08527891641418642,0.03707004099091071,0.03707004099091071,0.06843699875245055,0.08527891641418642,0.06843699875245055,0.007841739440384958,0.023525218321154874,0.023525218321154874,0.8701171875
41,0.09298283728003476,0.03237019335216163,0.03237019335216163,0.04703454268955029,0.09298283728003476,0.04703454268955029,0.004019117966543559,0.007820986313273952,0.007820986313273952,0.8896484375
42,0.09167468719923003,0.03577157523259544,0.03577157523259544,0.05068976580044915,0.09167468719923003,0.05068976580044915,0.006897658004491498,0.015399422521655439,0.015399422521655439,0.91015625
43,0.09956355701036552,0.027277686852154936,0.027277686852154936,0.03082378614293508,0.09956355701036552,0.03082378614293508,0.0035460992907801418,0.002182214948172395,0.002182214948172395,0.9296875
44,0.09506398537477148,0.017184643510054845,0.017184643510054845,0.033820840950639856,0.09506398537477148,0.033820840950639856,0.004570383912248629,0.006946983546617916,0.006946983546617916,0.9501953125
45,0.07327586206896551,0.008620689655172414,0.008620689655172414,0.03017241379310345,0.07327586206896551,0.03017241379310345,0.004310344827586207,0.002938871473354232,0.002938871473354232,0.9697265625
46,0.5272206303724928,0.022693409742120346,0.022693409742120346,0.011346704871060173,0.5272206303724928,0.011346704871060173,0.011346704871060173,0.2636103151862464,0.2636103151862464,0.990234375
