index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,sr
16,0.057586333578251284,0.0,0.0,0.013776634827332844,0.057586333578251284,0.013776634827332844,0.013776634827332844,0.06993938280675974,0.06993938280675974,0.389892578125
17,0.053770441153752783,0.0,0.0,0.014399841105201597,0.053770441153752783,0.014399841105201597,0.014399841105201597,0.06636064705492904,0.06636064705492904,0.409912109375
18,0.05694087695769782,0.0,0.0,0.023287795785693177,0.05694087695769782,0.023287795785693177,0.023287795785693177,0.07777373673084355,0.07777373673084355,0.429931640625
19,0.0527550059128901,0.0,0.0,0.020344350684492193,0.0527550059128901,0.020344350684492193,0.020344350684492193,0.07074422240484256,0.07074422240484256,0.449951171875
20,0.054607184406087514,0.0,0.0,0.02361167169211045,0.054607184406087514,0.02361167169211045,0.02361167169211045,0.07555972364016239,0.07555972364016239,0.469970703125
21,0.054260395364689844,0.0,0.0,0.025494205862304022,0.054260395364689844,0.025494205862304022,0.025494205862304022,0.0771813224267212,0.0771813224267212,0.489990234375
22,0.055766648823679106,0.0,0.0,0.03073088972156164,0.055766648823679106,0.03073088972156164,0.03073088972156164,0.08292601595338593,0.08292601595338593,0.509765625
23,0.05735938777026525,0.0,0.0,0.03499517051786909,0.05735938777026525,0.03499517051786909,0.03499517051786909,0.08835475642073458,0.08835475642073458,0.5302734375
24,0.055839019692219424,0.0,0.0,0.03226368312124751,0.055839019692219424,0.03226368312124751,0.03226368312124751,0.08459867625663409,0.08459867625663409,0.5498046875
25,0.06206654170571697,0.0,0.0,0.04919165885660731,0.06206654170571697,0.04919165885660731,0.04919165885660731,0.10515463917525773,0.10515463917525773,0.5703125
26,0.059575412575725926,0.0,0.0,0.028462502611238772,0.059575412575725926,0.028462502611238772,0.028462502611238772,0.08506110298725715,0.08506110298725715,0.58984375
27,0.0658439893886554,0.0,0.0,0.04760201496318817,0.0658439893886554,0.04760201496318817,0.04760201496318817,0.10788697129571671,0.10788697129571671,0.6103515625
28,0.06535165283634879,0.0,0.0,0.05563868861379404,0.06535165283634879,0.05563868861379404,0.05563868861379404,0.11413413141069242,0.11413413141069242,0.6298828125
29,0.07363714531384351,0.0,0.0,0.06632846087704214,0.07363714531384351,0.06632846087704214,0.06632846087704214,0.13184866723989683,0.13184866723989683,0.650390625
30,0.07252051484983546,0.0,0.0,0.05806639730078727,0.07252051484983546,0.05806639730078727,0.05806639730078727,0.12328348676080587,0.12328348676080587,0.669921875
31,0.07936061830317934,0.0,0.0,0.051642367820129986,0.07936061830317934,0.051642367820129986,0.051642367820129986,0.12520639381696821,0.12520639381696821,0.6904296875
32,0.08878247088816922,0.0,0.0,0.0922793357679322,0.08878247088816922,0.0922793357679322,0.0922793357679322,0.16647143939915937,0.16647143939915937,0.7099609375
